first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,can_select,chance_of_playing_next_round,points_per_game,penalties_saved,form,expected_goal_involvements,Predicted Points
Joe,Willock,0,2,38,801,14,223.3,138.8,126,0,26.0,48.6,3,0,2,0.1,47,MID,1,100.0,1.5,0,2.7,1.67,34.445934
Callum,Wilson,0,0,8,156,6,2.6,3.2,29,0,329.0,2.9,0,0,1,0.1,69,FWD,1,100.0,1.0,0,1.3,0.23,31.311966
Miodrag,Pivaš,0,0,0,0,0,0.0,0.0,0,0,8.0,0.0,0,0,0,0.1,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
William,Osula,0,0,10,65,3,10.4,6.2,4,0,0.0,2.1,0,0,0,0.2,49,FWD,1,,1.0,0,0.3,0.02,9.364901
Eddie,Howe,0,0,29,0,0,0.0,0.0,0,0,511.0,0.0,0,0,0,5.1,15,AM,1,,0.0,0,6.3,0.0,36.85595
Sean,Neave,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,45,FWD,1,,0.0,0,0.0,0.0,0.7578843
Álex,Moreno Lopera,0,1,31,812,15,83.8,165.8,27,1,209.0,27.6,3,0,2,0.4,42,DEF,1,100.0,2.4,0,0.0,0.99,29.405281
Ola,Aina,2,1,122,2531,32,205.8,508.8,75,15,64.0,79.0,12,0,2,29.5,54,DEF,1,100.0,4.2,0,3.2,2.05,115.486786
Elliot,Anderson,1,6,83,1978,28,512.1,488.0,221,5,289.0,122.4,11,0,6,0.3,50,MID,1,100.0,3.0,0,3.0,4.39,54.030327
Taiwo,Awoniyi,1,0,27,263,8,36.5,56.4,113,0,127.0,19.9,0,0,0,0.3,55,FWD,1,100.0,1.2,0,0.8,2.15,23.303585
Willy,Boly,0,0,5,131,1,0.2,42.8,17,0,79.0,6.0,0,0,1,0.1,42,DEF,1,100.0,1.0,0,0.0,0.07,1.4202721
Josh,Bowler,0,0,0,0,0,0.0,0.0,0,0,90.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Carlos Miguel,dos Santos Pereira,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.1,41,GK,1,25.0,0.0,0,0.0,0.0,0.7578843
Eric,da Silva Moreira,0,0,2,28,0,0.3,5.2,0,0,0.0,0.6,0,0,0,0.1,43,MID,1,,1.0,0,0.0,0.0,1.4202721
Danilo,dos Santos de Oliveira,0,0,8,168,3,2.7,17.4,0,0,0.0,2.0,1,0,0,0.0,47,MID,1,100.0,1.6,0,0.5,0.01,20.445303
Emmanuel,Dennis,0,0,0,0,0,0.0,0.0,0,0,161.0,0.0,0,0,0,0.2,49,FWD,0,0.0,0.0,0,0.0,0.0,0.7578843
Nicolás,Domínguez,0,0,36,1387,20,168.4,275.8,161,0,105.0,60.5,6,0,8,0.0,48,MID,1,100.0,1.4,0,2.2,2.28,28.478312
Anthony,Elanga,5,8,118,1841,25,586.0,482.2,405,10,75.0,147.7,11,0,1,6.6,53,MID,1,100.0,4.1,0,6.0,7.67,114.314514
Morgan,Gibbs-White,5,10,118,2019,24,609.7,529.8,496,12,31.0,163.6,11,1,6,8.0,66,MID,1,100.0,4.7,0,4.5,8.21,114.06447
Callum,Hudson-Odoi,5,3,95,1893,17,557.2,401.2,347,7,4.0,130.2,11,0,2,2.2,52,MID,1,100.0,3.8,0,6.0,4.56,103.96995
Alex,Mighten,0,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Murillo,Santiago Costa dos Santos,1,0,102,2478,35,171.2,688.6,146,13,250.0,100.7,11,0,5,3.7,47,DEF,1,100.0,3.6,0,3.8,2.16,82.98231
Neco,Williams,1,1,84,1778,20,159.3,391.2,190,5,145.0,74.2,9,0,4,3.1,44,DEF,1,,3.2,0,4.0,2.47,83.25376
Omar,Richards,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,45,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Lewis,O'Brien,0,0,0,0,0,0.0,0.0,0,0,188.0,0.0,0,0,0,0.0,50,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Andrew,Omobamidele,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,42,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Jonathan,Panzo,0,0,0,0,0,0.0,0.0,0,0,59.0,0.0,0,0,0,0.0,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Ibrahim,Sangaré,0,1,11,270,2,29.2,63.8,21,0,0.0,11.4,1,0,2,1.3,43,MID,1,100.0,1.6,0,0.5,0.08,20.445303
Matz,Sels,0,1,125,2610,35,10.1,695.8,0,10,6.0,71.0,12,0,2,18.7,51,GK,1,100.0,4.3,0,3.8,0.07,100.29608
Harry,Toffolo,0,0,3,45,1,3.3,18.2,6,0,-1.0,2.8,0,0,0,0.1,42,DEF,1,,1.0,0,0.0,0.03,1.4202721
Hwang,Ui-jo,0,0,0,0,0,0.0,0.0,0,0,175.0,0.0,0,0,0,0.8,45,FWD,0,0.0,0.0,0,0.0,0.0,0.7578843
Chris,Wood,18,3,174,2343,29,225.4,744.0,762,37,36.0,173.3,14,0,1,48.3,73,FWD,1,75.0,6.0,0,2.8,11.98,163.59949
